Berichtsdatum,Faelle_gesamt,Todesfaelle_gesamt
2020-03,61913,583
2020-04,97206,5705
2020-05,22363,2212
2020-06,12279,473
2020-07,14439,168
2020-08,33073,157
2020-09,46838,190
2020-10,229534,964
2020-11,535116,5796
2020-12,665868,16823
2021-01,496626,23874
2021-02,225973,13100
2021-03,366537,6297
2021-04,572724,6508
2021-05,299529,5592
2021-06,47015,2433
2021-07,41024,783
2021-08,173691,542
2021-09,284645,1438
2021-10,370049,2091
2021-11,1239263,5615
2021-12,1313609,10581
2022-01,2665111,5861
2022-02,4929574,4916
2022-03,6359402,6689
2022-04,3693558,6060
2022-05,1507929,3549
2022-06,1874865,2105
2022-07,2672453,2867
2022-08,1291843,3432
2022-09,1167216,2544
2022-10,2258758,3596
2022-11,892354,4247
2022-12,906380,3674
2023-01,388908,4098
2023-02,385260,2388
2023-03,207609,2888
2023-04,52025,2205
2023-05,23577,1248
2023-06,9833,614
2023-07,6739,343
2023-08,16906,261
2023-09,34067,591
2023-10,58313,692
2023-11,99160,1506
2023-12,113395,1810
